libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.11.1-1
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.7-1
libcamera 0.0.3-4
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.66-1
libcap-ng 0.8.3-1
libcbor 0.10.1-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcpuid 0.6.2-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libde265 1.0.11-1
libdrm 2.4.114-1
libedit 20210910_3.1-2
libelf 0.188-2
libepoxy 1.5.10-1
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libftdi 1.5-4
libgcrypt 1.10.1-2
libgee 0.20.6-1
libgit2 1:1.5.1-2
libglvnd 1.6.0-1
libgpg-error 1.46-2
libgsf 1.14.50-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libgusb 0.4.4-1
libgweather-4 4.2.0-1
libgxps 0.3.2-3
libhandy 1.8.1-1
libheif 1.14.2-1
libical 3.0.16-4
libice 1.1.1-1
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 56-1
libinput 1.22.1-1
libisl 0.25-1
libjcat 0.1.12-1
libjpeg-turbo 2.1.4-2
libjxl 0.8.0-1
libksba 1.6.3-1
liblc3 1.0.1-1
libldac 2.0.2.3-1
libldap 2.6.3-2
liblqr 0.4.2-3
libmanette 0.2.6-3
libmbim 1.28.2-1
libmd 1.0.4-1
libmfx 23.1.0-1
libmm-glib 1.20.4-1
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpdclient 2.20-2
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-1
libnfnetlink 1.0.2-1
libnftnl 1.2.4-1
libnghttp2 1.51.0-1
libnice 0.1.21-1
libnl 3.7.0-2
libnm 1.40.12-1
libnma 1.10.6-1
libnma-common 1.10.6-1
libnotify 0.8.1-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.3-1
libpciaccess 0.17-1
libpgm 5.3.128-2
libphonenumber 1:8.13.4-1
libpipeline 1.5.7-1
libplist 2.2.0-6
libpng 1.6.39-1
libproxy 0.4.18-2
libpsl 0.21.2-1
libpst 0.6.76-9
libpulse 16.1-3
libpwquality 1.4.5-1
libqmi 1.32.2-1
libqrtr-glib 1.2.2-2
libraqm 0.10.0-1
libraw1394 2.1.2-3
librest 0.9.1-2
librsvg 2:2.55.1-1
libsasl 2.1.28-4
libseccomp 2.5.4-1
libsecret 0.20.5-2
libsigc++ 2.12.0-1
libsm 1.2.4-1
libsmbios 2.4.3-5
libsndfile 1.2.0-1
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.2.2-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libssh 0.10.4-3
libssh2 1.10.0-3
libstemmer 2.2.0-2
libsynctex 2022.62885-3
libsysprof-capture 3.46.0-3
libtasn1 4.19.0-1
libteam 1.31-7
libthai 0.1.29-2
libtheora 1.1.1-5
libtiff 4.5.0-1
libtirpc 1.3.3-2
libtool 2.4.7+4+g1ec8fa28-1
libunistring 1.1-2
libunwind 1.6.2-2
liburcu 0.13.2-1
libusb 1.0.26-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libutf8proc 2.8.0-1
libuv 1.44.2-1
libva 2.17.0-1
libva-mesa-driver 22.3.4-1
libvdpau 1.5-1
libverto 0.3.2-4
libvorbis 1.3.7-3
libvpx 1.12.0-2
libwacom 2.6.0-1
libwebp 1.3.0-2
libwireplumber 0.4.13-1
libwpe 1.14.0-1
libx11 1.8.3-6
libxau 1.0.11-1
libxaw 1.0.14-1
libxcb 1.15-2
libxcomposite 0.4.6-1
libxcrypt 4.4.33-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-1
libxext 1.3.5-1
libxfce4ui 4.18.1-1
libxfce4util 4.18.1-1
libxfixes 6.0.0-2
libxfont2 2.0.6-1
libxft 2.3.7-1
libxi 1.8-2
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxml2 2.10.3-2
libxmlb 0.3.10-1
libxmu 1.1.4-1
libxpm 3.5.15-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libytnef 1:2.0-2
libyuv r2322+3aebf69d-1
licenses 20220125-1
light 1.2.2-3
lilv 0.24.20-1
linux 6.1.9.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20230117.7e4f0ed-1
linux-firmware-whence 20230117.7e4f0ed-1
llvm-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lowdown 1.0.0-1
lua 5.4.4-3
luit 20221028-1
lv2 1.18.10-1
lvm2 2.03.18-4
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-2
mailcap 2.1.53-1
make 4.4-1
man-db 2.11.2-1
man-pages 6.02-1
md4c 0.4.8-1
mdadm 4.2-2
mesa 22.3.4-1
minizip 1:1.2.13-2
mkinitcpio 34-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
mpfr 4.2.0-2
mpg123 1.31.2-2
mtdev 1.1.6-2
nano 7.2-1
ncurses 6.4-1
ndctl 75-1
nettle 3.8.1-1
network-manager-applet 1.30.0-1
networkmanager 1.40.12-1
nlohmann-json 3.11.2-1
nm-connection-editor 1.30.0-1
nodejs 19.5.0-1
npth 1.6-3
nspr 4.35-1
nss 3.87-1
nwg-launchers-git r631.c4d8d36-1
obsidian 1.1.9-3
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-2
openssh 9.1p1-3
openssl 3.0.7-4
openssl-1.1 1.1.1.s-4
opus 1.3.1-3
orc 0.4.33-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20221204-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
papirus-icon-theme 20230104-1
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-2
perl 5.36.0-3
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.80-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
pinentry 1.2.1-1
pinta 2.1-1
pipewire 1:0.3.65-5
pipewire-alsa 1:0.3.65-5
pipewire-audio 1:0.3.65-5
pipewire-jack 1:0.3.65-5
pipewire-pulse 1:0.3.65-5
pixman 0.42.2-1
pkgconf 1.8.0-1
playerctl 2.4.1-3
polkit 122-1
poppler 23.01.0-3
poppler-data 0.4.11-3
poppler-glib 23.01.0-3
popt 1.19-1
powerline-fonts-git r202.e80e3eb-1
procps-ng 3.3.17-1
protobuf 21.12-1
protobuf-c 1.4.1-1
psmisc 23.6-1
python 3.10.9-1
python-attrs 22.2.0-1
python-cairo 1.23.0-2
python-cffi 1.15.1-1
python-cryptography 39.0.0-1
python-defusedxml 0.7.1-4
python-docopt 0.6.2-11
python-future 0.18.2-7
python-gobject 3.42.2-1
python-i3ipc 2.2.1-3
python-keyutils 0.6-8
python-mako 1.2.4-1
python-markdown 3.4.1-2
python-markupsafe 2.1.2-1
python-packaging 21.3-1
python-pexpect 4.8.0-6
python-pip 22.3.1-1
python-ply 3.11-10
python-psutil 5.9.4-1
python-ptyprocess 0.7.0-4
python-pycparser 2.21-3
python-pyparsing 3.0.9-1
python-six 1.16.0-6
python-ujson 5.7.0-1
python-wheel 0.38.4-1
python-xlib 0.31-4
python-yaml 6.0-1
python2 2.7.18-8
qt5-base 5.15.8+kde+r177-1
qt5-charts 5.15.8-1
qt5-svg 5.15.8+kde+r8-1
qt5-translations 5.15.8-1
ranger 1.9.3-6
rav1e 0.6.3-1
re2 1:20221201-2
readline 8.2.001-2
ripgrep 13.0.0-3
run-parts 5.5-1
runc 1.1.4-1
rust 1:1.67.0-2
sbc 2.0-1
sdl2 2.26.2-1
seahorse 1:43.0-1
seatd 0.7.0-2
sed 4.9-1
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slack-desktop 4.29.149-1
slang 2.3.3-2
slurp 1.4.0-1
smartmontools 7.3-1
snappy 1.1.9-2
sndio 1.9.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.40.1-1
squashfuse 0.1.105-1
sratom 0.6.14-1
srt 1.5.1-3
stacer-git 1.1.0.r108.g0f24534-1
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.12.p2-1
svt-av1 1.4.1-1
sway 1:1.8-3
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock 1.7.2-1
swaync-git v0.7.3.r14.g7e21a29-1
sysfsutils 2.1.1-1
systemd 252.5-1
systemd-libs 252.5-1
systemd-sysvcompat 252.5-1
tar 1.34-1
tcl 8.6.13-1
tdb 1.4.8-1
texinfo 7.0.2-1
thin-provisioning-tools 1.0.0-1
thunar 4.18.3-1
thunderbird 102.7.1-1
tinycompress 1.2.8-1
tk 8.6.13-1
tor-browser 12.0.2-1
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
tslib 1.22-1
ttf-caladea 20200113-3
ttf-carlito 20130920-6
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 6.2.1-1
ttf-liberation 2.1.5-1
tzdata 2022g-2
udiskie 2.4.2-1
udisks2 2.9.4-1
upower 1.90.0-2
usbmuxd 1.1.1-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vi 1:070224-6
vid.stab 1.1-3
vim 9.0.1182-1
vim-runtime 9.0.1182-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-icd-loader 1.3.240-1
waybar 0.9.17-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webkit2gtk 2.38.3-1
webkit2gtk-4.1 2.38.3-1
webkit2gtk-5.0 2.38.3-1
